Date,Name,holidays
2013-01-01,New Year's Day,1
2013-01-02,Reconquest Day,1
2013-01-06,Epiphany,1
2013-01-07,Epiphany observed,1
2013-02-11,Carnival Monday,1
2013-02-12,Carnival Tuesday,1
2013-02-13,Ash Wednesday,1
2013-02-14,Valentine's Day,1
2013-02-28,Day of Andalucía,1
2013-03-01,Day of the Balearic Islands,1
2013-03-13,Statute of the Autonomous City of Melilla Day,1
2013-03-19,Fathers' Day,1
2013-03-19,San Jose,1
2013-03-19,San Jose,1
2013-03-20,March Equinox,1
2013-03-24,Palm Sunday,1
2013-03-28,Maundy Thursday,1
2013-03-28,Maundy Thursday,1
2013-03-29,Good Friday,1
2013-03-30,Holy Saturday,1
2013-03-31,Easter Sunday,1
2013-03-31,Daylight Saving Time starts,1
2013-04-01,Easter Monday,1
2013-04-01,Easter Monday,1
2013-04-23,Day of Aragón,1
2013-04-23,St George's Day,1
2013-04-23,Castile and León Day,1
2013-05-01,Labor Day / May Day,1
2013-05-02,Day of Madrid,1
2013-05-05,Mothers' Day,1
2013-05-17,Galicia Literature Day,1
2013-05-19,Whit Sunday/Pentecost,1
2013-05-20,Whit Monday,1
2013-05-30,Corpus Christi,1
2013-05-30,Day of the Canary Islands,1
2013-05-31,Day of Castile-La Mancha,1
2013-06-09,Day of Murcia,1
2013-06-09,Day of La Rioja,1
2013-06-10,Day off for Day of Murcia,1
2013-06-10,Day off for Day of La Rioja,1
2013-06-13,San Antonio,1
2013-06-21,June Solstice,1
2013-06-24,Saint John the Baptist Day,1
2013-06-24,Saint John the Baptist Day,1
2013-07-25,Feast of Saint James the Apostle,1
2013-07-25,Feast of Saint James the Apostle,1
2013-07-28,Day of the Institutions,1
2013-08-05,The Day of Our Lady of Africa,1
2013-08-08,Eid al-Fitr,1
2013-08-11,The Day of Cantabria,1
2013-08-15,Assumption of Mary,1
2013-09-02,Day of the Independent City of Ceuta,1
2013-09-06,Elcano's Day,1
2013-09-08,Day of Asturias,1
2013-09-08,Day of Extremadura,1
2013-09-08,Virgin of the Victory,1
2013-09-09,Virgin of the Victory observed,1
2013-09-11,National Day of Catalonia,1
2013-09-15,Nuestra Señora de la Bien Aparecida,1
2013-09-17,Day of Melilla,1
2013-09-22,September Equinox,1
2013-10-09,Day of the Valencian Community,1
2013-10-12,Hispanic Day,1
2013-10-15,Eid al-Adha,1
2013-10-27,Daylight Saving Time ends,1
2013-11-01,All Saint's Day Holiday,1
2013-12-03,Day of Navarre,1
2013-12-06,Constitution Day Holiday,1
2013-12-08,Immaculate Conception,1
2013-12-09,Immaculate Conception observed,1
2013-12-21,December Solstice,1
2013-12-24,Christmas Eve,1
2013-12-25,Christmas Day,1
2013-12-29,Feast of the Holy Family,1
2013-12-31,New Year's Eve,1
2014-01-01,New Year's Day,1
2014-01-02,Reconquest Day,1
2014-01-06,Epiphany,1
2014-02-14,Valentine's Day,1
2014-02-28,Day of Andalucía,1
2014-03-01,Day of the Balearic Islands,1
2014-03-03,Carnival Monday,1
2014-03-04,Carnival Tuesday,1
2014-03-05,Ash Wednesday,1
2014-03-13,Statute of the Autonomous City of Melilla Day,1
2014-03-19,Fathers' Day,1
2014-03-19,San Jose,1
2014-03-19,San Jose,1
2014-03-20,March Equinox,1
2014-03-30,Daylight Saving Time starts,1
2014-04-13,Palm Sunday,1
2014-04-17,Maundy Thursday,1
2014-04-17,Maundy Thursday,1
2014-04-18,Good Friday,1
2014-04-19,Holy Saturday,1
2014-04-20,Easter Sunday,1
2014-04-21,Easter Monday,1
2014-04-21,Easter Monday,1
2014-04-23,Day of Aragón,1
2014-04-23,St George's Day,1
2014-04-23,Castile and León Day,1
2014-05-01,Labor Day / May Day,1
2014-05-02,Day of Madrid,1
2014-05-04,Mothers' Day,1
2014-05-17,Galicia Literature Day,1
2014-05-30,Day of the Canary Islands,1
2014-05-31,Day of Castile-La Mancha,1
2014-06-08,Whit Sunday/Pentecost,1
2014-06-09,Whit Monday,1
2014-06-09,Day of Murcia,1
2014-06-09,Day of La Rioja,1
2014-06-13,San Antonio,1
2014-06-19,Corpus Christi,1
2014-06-21,June Solstice,1
2014-06-24,Saint John the Baptist Day,1
2014-06-24,Saint John the Baptist Day,1
2014-07-25,Feast of Saint James the Apostle,1
2014-07-25,Feast of Saint James the Apostle,1
2014-07-28,Day of the Institutions,1
2014-07-29,Eid al-Fitr,1
2014-08-05,The Day of Our Lady of Africa,1
2014-08-10,The Day of Cantabria,1
2014-08-15,Assumption of Mary,1
2014-09-02,Day of the Independent City of Ceuta,1
2014-09-06,Elcano's Day,1
2014-09-08,Day of Asturias,1
2014-09-08,Day of Extremadura,1
2014-09-08,Virgin of the Victory,1
2014-09-11,National Day of Catalonia,1
2014-09-15,Nuestra Señora de la Bien Aparecida,1
2014-09-17,Day of Melilla,1
2014-09-23,September Equinox,1
2014-10-06,Eid al-Adha,1
2014-10-09,Day of the Valencian Community,1
2014-10-12,Hispanic Day,1
2014-10-13,Hispanic Day observed,1
2014-10-26,Daylight Saving Time ends,1
2014-11-01,All Saint's Day Holiday,1
2014-12-03,Day of Navarre,1
2014-12-06,Constitution Day Holiday,1
2014-12-08,Immaculate Conception,1
2014-12-22,December Solstice,1
2014-12-24,Christmas Eve,1
2014-12-25,Christmas Day,1
2014-12-26,St Stephen's Day,1
2014-12-28,Feast of the Holy Family,1
2014-12-31,New Year's Eve,1
2015-01-01,New Year's Day,1
2015-01-02,Reconquest Day,1
2015-01-06,Epiphany,1
2015-02-14,Valentine's Day,1
2015-02-16,Carnival Monday,1
2015-02-17,Carnival Tuesday,1
2015-02-18,Ash Wednesday,1
2015-02-28,Day of Andalucía,1
2015-03-01,Day of the Balearic Islands,1
2015-03-13,Statute of the Autonomous City of Melilla Day,1
2015-03-19,Fathers' Day,1
2015-03-19,San Jose,1
2015-03-19,San Jose,1
2015-03-20,San Jose,1
2015-03-20,March Equinox,1
2015-03-29,Palm Sunday,1
2015-03-29,Daylight Saving Time starts,1
2015-04-02,Maundy Thursday,1
2015-04-02,Maundy Thursday,1
2015-04-03,Good Friday,1
2015-04-04,Holy Saturday,1
2015-04-05,Easter Sunday,1
2015-04-06,Easter Monday,1
2015-04-06,Easter Monday,1
2015-04-23,Day of Aragón,1
2015-04-23,St George's Day,1
2015-04-23,Castile and León Day,1
2015-05-01,Labor Day / May Day,1
2015-05-02,Day of Madrid,1
2015-05-03,Mothers' Day,1
2015-05-17,Galicia Literature Day,1
2015-05-24,Whit Sunday/Pentecost,1
2015-05-25,Whit Monday,1
2015-05-30,Day of the Canary Islands,1
2015-05-31,Day of Castile-La Mancha,1
2015-06-04,Corpus Christi,1
2015-06-04,Corpus Christi,1
2015-06-09,Day of Murcia,1
2015-06-09,Day of La Rioja,1
2015-06-13,San Antonio,1
2015-06-21,June Solstice,1
2015-06-24,Saint John the Baptist Day,1
2015-06-24,Saint John the Baptist Day,1
2015-07-18,Eid al-Fitr,1
2015-07-24,Festa da Dorna,1
2015-07-25,Feast of Saint James the Apostle,1
2015-07-25,Feast of Saint James the Apostle,1
2015-07-28,Day of the Institutions,1
2015-08-05,The Day of Our Lady of Africa,1
2015-08-09,The Day of Cantabria,1
2015-08-15,Assumption of Mary,1
2015-09-02,Day of the Independent City of Ceuta,1
2015-09-06,Elcano's Day,1
2015-09-08,Day of Asturias,1
2015-09-08,Day of Extremadura,1
2015-09-08,Virgin of the Victory,1
2015-09-11,National Day of Catalonia,1
2015-09-15,Nuestra Señora de la Bien Aparecida,1
2015-09-17,Day of Melilla,1
2015-09-23,September Equinox,1
2015-09-25,Eid al-Adha,1
2015-10-09,Day of the Valencian Community,1
2015-10-12,Hispanic Day,1
2015-10-25,Daylight Saving Time ends,1
2015-11-01,All Saint's Day Holiday,1
2015-11-02,All Saint's Day Holiday observed,1
2015-12-03,Day of Navarre,1
2015-12-06,Constitution Day Holiday,1
2015-12-07,Constitution Day Holiday observed,1
2015-12-08,Immaculate Conception,1
2015-12-22,December Solstice,1
2015-12-24,Christmas Eve,1
2015-12-25,Christmas Day,1
2015-12-26,St Stephen's Day,1
2015-12-27,Feast of the Holy Family,1
2015-12-31,New Year's Eve,1
2016-01-01,New Year's Day,1
2016-01-02,Reconquest Day,1
2016-01-06,Epiphany,1
2016-02-08,Carnival Monday,1
2016-02-09,Carnival Tuesday,1
2016-02-10,Ash Wednesday,1
2016-02-14,Valentine's Day,1
2016-02-28,Day of Andalucía,1
2016-02-29,Day off for Day of Andalucía,1
2016-03-01,Day of the Balearic Islands,1
2016-03-13,Statute of the Autonomous City of Melilla Day,1
2016-03-19,Fathers' Day,1
2016-03-19,San Jose,1
2016-03-19,San Jose,1
2016-03-20,Palm Sunday,1
2016-03-20,March Equinox,1
2016-03-24,Maundy Thursday,1
2016-03-24,Maundy Thursday,1
2016-03-25,Good Friday,1
2016-03-26,Holy Saturday,1
2016-03-27,Easter Sunday,1
2016-03-27,Daylight Saving Time starts,1
2016-03-28,Easter Monday,1
2016-03-28,Easter Monday,1
2016-04-23,Day of Aragón,1
2016-04-23,St George's Day,1
2016-04-23,Castile and León Day,1
2016-05-01,Labor Day / May Day,1
2016-05-01,Mothers' Day,1
2016-05-02,Labor Day observed,1
2016-05-02,Day of Madrid,1
2016-05-15,Whit Sunday/Pentecost,1
2016-05-16,Whit Monday,1
2016-05-17,Galicia Literature Day,1
2016-05-26,Corpus Christi,1
2016-05-26,Corpus Christi,1
2016-05-30,Day of the Canary Islands,1
2016-05-31,Day of Castile-La Mancha,1
2016-06-09,Day of Murcia,1
2016-06-09,Day of La Rioja,1
2016-06-13,San Antonio,1
2016-06-21,June Solstice,1
2016-06-24,Saint John the Baptist Day,1
2016-06-24,Saint John the Baptist Day,1
2016-07-07,Eid al-Fitr,1
2016-07-25,Feast of Saint James the Apostle,1
2016-07-25,Feast of Saint James the Apostle,1
2016-07-28,Day of the Institutions,1
2016-08-05,The Day of Our Lady of Africa,1
2016-08-14,The Day of Cantabria,1
2016-08-15,Assumption of Mary,1
2016-09-02,Day of the Independent City of Ceuta,1
2016-09-06,Elcano's Day,1
2016-09-08,Day of Asturias,1
2016-09-08,Day of Extremadura,1
2016-09-08,Virgin of the Victory,1
2016-09-11,National Day of Catalonia,1
2016-09-12,Eid al-Adha,1
2016-09-13,Eid al-Adha,1
2016-09-15,Nuestra Señora de la Bien Aparecida,1
2016-09-17,Day of Melilla,1
2016-09-22,September Equinox,1
2016-10-07,80th anniversary of the constitution of the Basque Government in Guernica,1
2016-10-09,Day of the Valencian Community,1
2016-10-12,Hispanic Day,1
2016-10-30,Daylight Saving Time ends,1
2016-11-01,All Saint's Day Holiday,1
2016-12-03,Day of Navarre,1
2016-12-06,Constitution Day Holiday,1
2016-12-08,Immaculate Conception,1
2016-12-21,December Solstice,1
2016-12-24,Christmas Eve,1
2016-12-25,Christmas Day,1
2016-12-26,Monday After Christmas Day,1
2016-12-26,St Stephen's Day,1
2016-12-30,Feast of the Holy Family,1
2016-12-31,New Year's Eve,1
2017-01-01,New Year's Day,1
2017-01-02,New Year's Day Holiday,1
2017-01-02,Reconquest Day,1
2017-01-06,Epiphany,1
2017-02-14,Valentine's Day,1
2017-02-27,Carnival Monday,1
2017-02-28,Day of Andalucía,1
2017-02-28,Carnival Tuesday,1
2017-03-01,Day of the Balearic Islands,1
2017-03-01,Ash Wednesday,1
2017-03-13,Statute of the Autonomous City of Melilla Day,1
2017-03-19,Fathers' Day,1
2017-03-19,San Jose,1
2017-03-19,San Jose,1
2017-03-20,San Jose,1
2017-03-20,March Equinox,1
2017-03-26,Daylight Saving Time starts,1
2017-04-09,Palm Sunday,1
2017-04-13,Maundy Thursday,1
2017-04-13,Maundy Thursday,1
2017-04-14,Good Friday,1
2017-04-15,Holy Saturday,1
2017-04-16,Easter Sunday,1
2017-04-17,Easter Monday,1
2017-04-17,Easter Monday,1
2017-04-23,Day of Aragón,1
2017-04-23,St George's Day,1
2017-04-24,Day off for Day of Aragón,1
2017-04-24,Castile and León Day,1
2017-05-01,Labor Day / May Day,1
2017-05-02,Day of Madrid,1
2017-05-07,Mothers' Day,1
2017-05-17,Galicia Literature Day,1
2017-05-30,Day of the Canary Islands,1
2017-05-31,Day of Castile-La Mancha,1
2017-06-04,Whit Sunday/Pentecost,1
2017-06-05,Whit Monday,1
2017-06-09,Day of Murcia,1
2017-06-09,Day of La Rioja,1
2017-06-13,San Antonio,1
2017-06-15,Corpus Christi,1
2017-06-15,Corpus Christi,1
2017-06-21,June Solstice,1
2017-06-24,Saint John the Baptist Day,1
2017-06-24,Saint John the Baptist Day,1
2017-06-26,Eid al-Fitr,1
2017-07-25,Feast of Saint James the Apostle,1
2017-07-25,Feast of Saint James the Apostle,1
2017-07-28,Day of the Institutions,1
2017-08-05,The Day of Our Lady of Africa,1
2017-08-13,The Day of Cantabria,1
2017-08-15,Assumption of Mary,1
2017-09-02,Day of the Independent City of Ceuta,1
2017-09-02,Eid al-Adha,1
2017-09-06,Elcano's Day,1
2017-09-08,Day of Asturias,1
2017-09-08,Day of Extremadura,1
2017-09-08,Virgin of the Victory,1
2017-09-11,National Day of Catalonia,1
2017-09-15,Nuestra Señora de la Bien Aparecida,1
2017-09-17,Day of Melilla,1
2017-09-22,September Equinox,1
2017-10-09,Day of the Valencian Community,1
2017-10-12,Hispanic Day,1
2017-10-29,Daylight Saving Time ends,1
2017-11-01,All Saint's Day Holiday,1
2017-12-04,Day of Navarre,1
2017-12-06,Constitution Day Holiday,1
2017-12-08,Immaculate Conception,1
2017-12-21,December Solstice,1
2017-12-24,Christmas Eve,1
2017-12-25,Christmas Day,1
2017-12-26,St Stephen's Day,1
2017-12-31,Feast of the Holy Family,1
2017-12-31,New Year's Eve,1
2018-01-01,New Year's Day,1
2018-01-02,Reconquest Day,1
2018-01-06,Epiphany,1
2018-02-12,Carnival Monday,1
2018-02-13,Carnival Tuesday,1
2018-02-14,Valentine's Day,1
2018-02-14,Ash Wednesday,1
2018-02-28,Day of Andalucía,1
2018-03-01,Day of the Balearic Islands,1
2018-03-13,Statute of the Autonomous City of Melilla Day,1
2018-03-19,Fathers' Day,1
2018-03-19,San Jose,1
2018-03-19,San Jose,1
2018-03-20,March Equinox,1
2018-03-25,Palm Sunday,1
2018-03-25,Daylight Saving Time starts,1
2018-03-29,Maundy Thursday,1
2018-03-29,Maundy Thursday,1
2018-03-30,Good Friday,1
2018-03-31,Holy Saturday,1
2018-04-01,Easter Sunday,1
2018-04-02,Easter Monday,1
2018-04-02,Easter Monday,1
2018-04-23,Day of Aragón,1
2018-04-23,St George's Day,1
2018-04-23,Castile and León Day,1
2018-05-01,Labor Day / May Day,1
2018-05-02,Day of Madrid,1
2018-05-06,Mothers' Day,1
2018-05-17,Galicia Literature Day,1
2018-05-20,Whit Sunday/Pentecost,1
2018-05-21,Whit Monday,1
2018-05-30,Day of the Canary Islands,1
2018-05-31,Corpus Christi,1
2018-05-31,Day of Castile-La Mancha,1
2018-06-09,Day of Murcia,1
2018-06-09,Day of La Rioja,1
